species,otolith label
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Blue Whiting,20
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,67
Sandeel,68
Sandeel,69
Sandeel,70
Sandeel,71
Sandeel,72
Sandeel,73
Sandeel,74
Sandeel,75
Sandeel,76
Sandeel,77
Sandeel,78
Sandeel,79
Sandeel,80
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,67
Sandeel,68
Sandeel,69
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,67
Sandeel,68
Sandeel,69
Sandeel,70
Sandeel,71
Sandeel,72
Sandeel,73
Sandeel,74
Sandeel,75
Sandeel,76
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,1
Black Goby,1
Black Goby,2
Blue Whiting,1
Cod,1
Cod,2
Cod,3
Norway Pout,2
Vahl's Eelpout,1
Vahl's Eelpout,2
Vahl's Eelpout,3
Vahl's Eelpout,4
Vahl's Eelpout,5
Cephalopoda,1
Ballan Wrasse,1
Ballan Wrasse,2
Ballan Wrasse,3
Ballan Wrasse,5
Ballan Wrasse,8
Ballan Wrasse,9
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Blue Whiting,20
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Four-bearded Rockling,59
Four-bearded Rockling,60
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,12
Haddock/Pollack/Saithe,13
Haddock/Pollack/Saithe,14
Haddock/Pollack/Saithe,15
Haddock/Pollack/Saithe,16
Haddock/Pollack/Saithe,17
Rock Cook,4
Rock Cook,6
Rock Cook,7
Snake Blenny,1
Snake Blenny,2
Snake Blenny,3
Snake Blenny,4
Snake Blenny,5
Snake Blenny,6
Snake Blenny,7
Snake Blenny,8
Snake Blenny,9
Snake Blenny,10
Snake Blenny,11
Snake Blenny,12
Snake Blenny,13
Snake Blenny,14
Snake Blenny,15
Snake Blenny,16
Snake Blenny,17
Snake Blenny,18
Snake Blenny,19
Snake Blenny,20
Snake Blenny,21
Snake Blenny,22
Snake Blenny,23
Snake Blenny,24
Snake Blenny,25
Snake Blenny,26
Snake Blenny,27
Snake Blenny,28
Snake Blenny,29
Snake Blenny,30
Snake Blenny,31
Snake Blenny,32
Snake Blenny,33
Snake Blenny,34
Snake Blenny,35
Snake Blenny,36
Snake Blenny,37
Snake Blenny,38
Snake Blenny,39
Snake Blenny,56
Snake Blenny,57
Snake Blenny,61
Snake Blenny,62
Vahl's Eelpout,1
Vahl's Eelpout,2
Vahl's Eelpout,3
Vahl's Eelpout,4
Vahl's Eelpout,5
Vahl's Eelpout,6
Vahl's Eelpout,7
Vahl's Eelpout,8
Vahl's Eelpout,9
Vahl's Eelpout,10
Vahl's Eelpout,11
Vahl's Eelpout,12
Vahl's Eelpout,13
Vahl's Eelpout,14
Vahl's Eelpout,15
Vahl's Eelpout,16
Vahl's Eelpout,17
Vahl's Eelpout,18
Vahl's Eelpout,19
Vahl's Eelpout,20
Vahl's Eelpout,21
Vahl's Eelpout,22
Vahl's Eelpout,23
Vahl's Eelpout,24
Vahl's Eelpout,25
Vahl's Eelpout,26
Vahl's Eelpout,40
Vahl's Eelpout,41
Vahl's Eelpout,42
Vahl's Eelpout,43
Vahl's Eelpout,44
Vahl's Eelpout,45
Vahl's Eelpout,46
Vahl's Eelpout,47
Vahl's Eelpout,48
Vahl's Eelpout,49
Vahl's Eelpout,50
Vahl's Eelpout,51
Vahl's Eelpout,52
Vahl's Eelpout,53
Vahl's Eelpout,54
Whiting,7
Whiting,8
Whiting,9
Unidentified otoliths,55
Unidentified otoliths,58
Unidentified otoliths,63
Unidentified otoliths,64
Unidentified otoliths,65
Unidentified otoliths,66
Unidentified otoliths,67
Unidentified otoliths,68
Unidentified otoliths,69
Unidentified otoliths,70
Unidentified otoliths,71
Ballan Wrasse,7
Blue Whiting,1
Blue Whiting,2
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,8
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,67
Sandeel,68
Sandeel,69
Sandeel,70
Sandeel,71
Sandeel,1
Sandeel,2
Sandeel,3
Whiting,1
Whiting,2
Whiting,3
Whiting,4
Whiting,5
Whiting,6
Whiting,7
Whiting,8
Whiting,9
Whiting,10
Black Goby,1
Black Goby,2
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Blue Whiting,20
Blue Whiting,21
Blue Whiting,22
Blue Whiting,23
Blue Whiting,24
Blue Whiting,25
Blue Whiting,26
Blue Whiting,27
Blue Whiting,28
Blue Whiting,29
Blue Whiting,30
Blue Whiting,31
Blue Whiting,32
Blue Whiting,33
Blue Whiting,34
Blue Whiting,35
Blue Whiting,36
Blue Whiting,37
Blue Whiting,38
Blue Whiting,39
Blue Whiting,40
Blue Whiting,41
Blue Whiting,1
Blue Whiting,2
Blue Whiting,4
Blue Whiting,6
Blue Whiting,7
Cod,3
Unidentified Gadidae,1
Unidentified Gadidae,2
Whiting,1
Whiting,5
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,3
Blue Whiting,6
Blue Whiting,2
Blue Whiting,3
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,11
Blue Whiting,12
Blue Whiting,1
