species,otolith label
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Unidentified Gadidae,10
Poor Cod,1
Poor Cod,2
Poor Cod,3
Poor Cod,4
Poor Cod,5
Poor Cod,6
Poor Cod,7
Poor Cod,8
Poor Cod,9
Poor Cod,10
Poor Cod,11
Poor Cod,1
Poor Cod,2
Poor Cod,4
Poor Cod,5
Poor Cod,7
Poor Cod,8
Poor Cod,1
Poor Cod,4
Poor Cod,5
Poor Cod,6
Ballan Wrasse,2
Snake Blenny,2
Snake Blenny,3
Vahl's Eelpout,1
Vahl's Eelpout,2
Vahl's Eelpout,3
Vahl's Eelpout,4
Vahl's Eelpout,5
Vahl's Eelpout,6
Vahl's Eelpout,7
Vahl's Eelpout,8
Vahl's Eelpout,9
Vahl's Eelpout,10
Vahl's Eelpout,1
Vahl's Eelpout,4
Vahl's Eelpout,3
Vahl's Eelpout,1
Unidentified otoliths,1
Unidentified otoliths,2
Unidentified otoliths,1
Unidentified otoliths,2
Unidentified otoliths,3
Unidentified otoliths,4
Unidentified otoliths,5
Topknot,1
Blue Whiting,1
Blue Whiting,2
Blue Whiting,1
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,67
Sandeel,68
Sandeel,69
Sandeel,70
Sandeel,71
Sandeel,72
Sandeel,73
Sandeel,74
Sandeel,75
Sandeel,76
Sandeel,77
Sandeel,78
Sandeel,79
Sandeel,80
Sandeel,81
Sandeel,82
Sandeel,83
Sandeel,84
Sandeel,85
Sandeel,86
Sandeel,87
Sandeel,88
Sandeel,89
Sandeel,90
Sandeel,91
Sandeel,92
Sandeel,93
Sandeel,94
Sandeel,95
Sandeel,96
Sandeel,97
Sandeel,98
Sandeel,99
Sandeel,100
Sandeel,101
Sandeel,102
Sandeel,103
Sandeel,104
Sandeel,105
Sandeel,106
Sandeel,107
Sandeel,108
Sandeel,109
Sandeel,110
Sandeel,111
Sandeel,112
Sandeel,113
Sandeel,114
Sandeel,115
Sandeel,116
Sandeel,117
Sandeel,118
Sandeel,119
Sandeel,120
Sandeel,121
Sandeel,122
Sandeel,123
Sandeel,124
Sandeel,125
Sandeel,126
Sandeel,127
Sandeel,128
Sandeel,129
Sandeel,130
Sandeel,131
Sandeel,132
Sandeel,133
Sandeel,134
Sandeel,135
Sandeel,136
Sandeel,137
Sandeel,138
Sandeel,139
Sandeel,140
Sandeel,141
Sandeel,142
Sandeel,143
Sandeel,144
Sandeel,145
Sandeel,146
Sandeel,147
Sandeel,148
Sandeel,149
Sandeel,150
Sandeel,151
Sandeel,152
Sandeel,153
Blue Whiting,1
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Norway Pout,2
empty,
Bass,1
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Blue Whiting,20
Blue Whiting,21
Blue Whiting,22
Blue Whiting,23
Blue Whiting,24
Blue Whiting,25
Blue Whiting,26
Blue Whiting,27
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,28
Blue Whiting,29
Blue Whiting,30
Blue Whiting,31
Blue Whiting,32
Blue Whiting,33
Blue Whiting,34
Blue Whiting,35
Blue Whiting,36
Blue Whiting,37
Blue Whiting,38
Blue Whiting,39
Blue Whiting,40
Blue Whiting,41
Blue Whiting,42
Blue Whiting,43
Blue Whiting,44
Blue Whiting,45
Blue Whiting,46
Blue Whiting,47
Blue Whiting,48
Blue Whiting,49
Blue Whiting,50
Blue Whiting,51
Blue Whiting,52
Blue Whiting,53
Blue Whiting,54
Blue Whiting,55
Blue Whiting,56
Blue Whiting,57
Blue Whiting,58
Blue Whiting,59
Blue Whiting,60
Blue Whiting,61
Blue Whiting,62
Blue Whiting,63
Blue Whiting,64
Blue Whiting,65
Blue Whiting,66
Blue Whiting,67
Blue Whiting,68
Blue Whiting,69
Blue Whiting,71
Blue Whiting,72
Blue Whiting,73
Blue Whiting,75
Blue Whiting,76
Blue Whiting,77
Blue Whiting,78
Blue Whiting,79
Blue Whiting,80
Blue Whiting,81
Blue Whiting,82
Blue Whiting,83
Blue Whiting,84
Blue Whiting,85
Blue Whiting,86
Blue Whiting,87
Blue Whiting,88
Blue Whiting,89
Blue Whiting,90
Blue Whiting,91
Blue Whiting,92
Blue Whiting,93
Blue Whiting,94
Blue Whiting,95
Blue Whiting,96
Blue Whiting,97
Blue Whiting,98
Blue Whiting,99
Blue Whiting,100
Blue Whiting,101
Blue Whiting,102
Blue Whiting,103
Blue Whiting,104
Blue Whiting,105
Blue Whiting,106
Blue Whiting,107
Blue Whiting,108
Blue Whiting,109
Blue Whiting,110
Blue Whiting,111
Blue Whiting,112
Blue Whiting,113
Blue Whiting,114
Blue Whiting,115
Blue Whiting,116
Blue Whiting,117
Blue Whiting,118
Norway Pout,70
Norway Pout,74
Blue Whiting,1
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Hake,1
Hake,2
Hake,3
Hake,4
Vahl's Eelpout,1
Vahl's Eelpout,2
Vahl's Eelpout,3
Vahl's Eelpout,4
Vahl's Eelpout,5
Vahl's Eelpout,6
Vahl's Eelpout,7
Vahl's Eelpout,8
Vahl's Eelpout,9
Vahl's Eelpout,10
Vahl's Eelpout,11
Vahl's Eelpout,12
Vahl's Eelpout,13
Ballan Wrasse,1
Ballan Wrasse,2
Blue Whiting,2
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,1
Blue Whiting,2
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Blue Whiting,20
Blue Whiting,21
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,4
Cod,1
Cod,2
Cod,3
Cod,4
Cod,3
Cod,1
Cod,2
Cod,1
Hake,1
Hake,1
Unidentified Gadidae,1
Unidentified Gadidae,2
Unidentified Gadidae,3
Norway Pout,1
Norway Pout,1
Norway Pout,2
Norway Pout,3
Norway Pout,4
Norway Pout,1
Norway Pout,2
Norway Pout,3
Norway Pout,4
Norway Pout,5
Norway Pout,6
Norway Pout,7
Norway Pout,8
Norway Pout,9
Norway Pout,10
Norway Pout,11
Poor Cod,1
Poor Cod,2
Poor Cod,3
Poor Cod,4
Poor Cod,5
Poor Cod,6
Poor Cod,7
Poor Cod,8
Poor Cod,9
Poor Cod,10
Poor Cod,11
Poor Cod,12
Whiting,1
Whiting,2
Whiting,3
Whiting,4
Whiting,1
Whiting,2
Whiting,3
Whiting,1
Whiting,2
Whiting,3
Whiting,4
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Hake,1
Hake,2
Hake,3
Unidentified Gadidae,1
Unidentified Gadidae,2
Unidentified Gadidae,3
Unidentified Gadidae,4
Unidentified Gadidae,5
Unidentified Gadidae,6
Poor Cod,1
Vahl's Eelpout,1
Vahl's Eelpout,2
Vahl's Eelpout,3
Vahl's Eelpout,4
Vahl's Eelpout,5
Vahl's Eelpout,6
Vahl's Eelpout,7
Vahl's Eelpout,8
Vahl's Eelpout,9
Vahl's Eelpout,10
Vahl's Eelpout,11
Vahl's Eelpout,12
Vahl's Eelpout,13
Vahl's Eelpout,14
Vahl's Eelpout,15
Vahl's Eelpout,16
Vahl's Eelpout,17
Hake,1
Plaice,1
Vahl's Eelpout,2
Unidentified otoliths,1
empty,
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,12
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,12
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,12
Haddock/Pollack/Saithe,13
Haddock/Pollack/Saithe,14
Haddock/Pollack/Saithe,15
Haddock/Pollack/Saithe,16
Haddock/Pollack/Saithe,17
Haddock/Pollack/Saithe,18
Haddock/Pollack/Saithe,19
Haddock/Pollack/Saithe,20
Haddock/Pollack/Saithe,21
Haddock/Pollack/Saithe,22
Haddock/Pollack/Saithe,23
Haddock/Pollack/Saithe,24
Haddock/Pollack/Saithe,25
Haddock/Pollack/Saithe,26
Haddock/Pollack/Saithe,27
Haddock/Pollack/Saithe,28
Haddock/Pollack/Saithe,29
Haddock/Pollack/Saithe,30
Haddock/Pollack/Saithe,31
Haddock/Pollack/Saithe,32
empty,
empty,
Blue Whiting,46
Blue Whiting,47
Blue Whiting,48
Blue Whiting,49
Blue Whiting,50
Blue Whiting,51
Blue Whiting,52
Blue Whiting,53
Blue Whiting,54
Cod,45
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,2
Haddock/Pollack/Saithe,3
Haddock/Pollack/Saithe,4
Haddock/Pollack/Saithe,5
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,9
Haddock/Pollack/Saithe,10
Haddock/Pollack/Saithe,11
Haddock/Pollack/Saithe,12
Haddock/Pollack/Saithe,13
Haddock/Pollack/Saithe,14
Haddock/Pollack/Saithe,15
Haddock/Pollack/Saithe,16
Haddock/Pollack/Saithe,17
Haddock/Pollack/Saithe,18
Haddock/Pollack/Saithe,19
Haddock/Pollack/Saithe,20
Haddock/Pollack/Saithe,21
Haddock/Pollack/Saithe,22
Haddock/Pollack/Saithe,23
Haddock/Pollack/Saithe,24
Haddock/Pollack/Saithe,25
Haddock/Pollack/Saithe,26
Haddock/Pollack/Saithe,27
Haddock/Pollack/Saithe,28
Haddock/Pollack/Saithe,29
Haddock/Pollack/Saithe,30
Haddock/Pollack/Saithe,31
Haddock/Pollack/Saithe,32
Haddock/Pollack/Saithe,33
Haddock/Pollack/Saithe,34
Haddock/Pollack/Saithe,35
Haddock/Pollack/Saithe,36
Haddock/Pollack/Saithe,37
Haddock/Pollack/Saithe,38
Haddock/Pollack/Saithe,39
Haddock/Pollack/Saithe,40
Haddock/Pollack/Saithe,41
Haddock/Pollack/Saithe,42
Haddock/Pollack/Saithe,43
Haddock/Pollack/Saithe,44
Cephalopoda,1
Cod,9
Cod,10
Cod,11
Cod,12
Cod,13
Cod,14
Cod,15
Cod,16
Cod,17
Cod,18
Cod,19
Cod,20
Cod,21
Cod,22
Cod,23
Cod,1
Cod,2
Cod,1
Four-bearded Rockling,1
Haddock/Pollack/Saithe,6
Haddock/Pollack/Saithe,7
Haddock/Pollack/Saithe,8
Haddock/Pollack/Saithe,1
Haddock/Pollack/Saithe,4
Long Rough Dab,1
Unidentified Gadidae,1
Unidentified Gadidae,2
Unidentified Gadidae,3
Poor Cod,24
Poor Cod,25
Poor Cod,26
Whiting,1
